             ti                       w1i                      w2i       
   0.0000000000000000        0.0000000000000000       -4.4119999999899999     
   1.0000000000000000       -4.4119999999899999       -14.091779999989999     
   2.0000000000000000       -18.503779999979997       -21.134291984475180     
   3.0000000000000000       -39.638071984455181       -26.258062881294880     
   4.0000000000000000       -65.896134865750057       -29.985856069426131     
   5.0000000000000000       -95.881990935176191       -32.698007399631628     
   6.0000000000000000       -128.57999833480781       -34.671229750419521     
   7.0000000000000000       -163.25122808522732       -36.106845234808397     
   8.0000000000000000       -199.35807332003571       -37.151325507492402     
   9.0000000000000000       -236.50939882752812       -37.911235839951964     
   10.000000000000000       -274.42063466748010       -38.464107663844715     
   11.000000000000000       -312.88474233132479       -38.866348876521954     
   12.000000000000000       -351.75109120784674       -39.158998974037942     
   13.000000000000000       -390.91009018188470       -39.371916191063235     
   14.000000000000000       -430.28200637294793       -39.526823849357520     
   15.000000000000000       -469.80883022230546       -39.639526724838788     
   16.000000000000000       -509.44835694714425       -39.721523562707290     
