             ti                       w1i                      w2i       
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
  0.10000000000000001       -4.7889810805014130E-002 -0.95274548598392395     
  0.20000000000000001      -0.18955488917290375       -1.8756634739093154     
  0.30000000000000004      -0.42205942312416478       -2.7696877699747029     
  0.40000000000000002      -0.74255951182178304       -3.6357229458107438     
  0.50000000000000000       -1.1483002881192133       -4.4746452537236232     
  0.60000000000000009       -1.6366131311924317       -5.2873035132850283     
  0.70000000000000007       -2.2049129664358098       -6.0745199701657464     
  0.80000000000000004       -2.8506956498898526       -6.8370911280818563     
  0.90000000000000002       -3.5715354345543666       -7.5757885546952712     
   1.0000000000000000       -4.3650825160234854       -8.2913596622840409     
   1.1000000000000001       -5.2290606549592278       -8.9845284639722962     
   1.2000000000000002       -6.1612648739980154       -9.6559963062849850     
   1.3000000000000000       -7.1595592267598835       -10.306442578768596     
   1.4000000000000001       -8.2218746367030775       -10.936525401395873     
   1.5000000000000000       -9.3462068036373829       -11.546882290450005     
   1.6000000000000001       -10.530614175778025       -12.138130803562087     
   1.7000000000000002       -11.773215985288244       -12.710869164554424     
   1.8000000000000000       -13.072190345322923       -13.265676868721972     
   1.9000000000000001       -14.425772406647864       -13.803115269164268     
   2.0000000000000000       -15.832252571969585       -14.323728144761155     
   2.1000000000000001       -17.289974766168889       -14.828042250366941     
   2.2000000000000002       -18.797334760688052       -15.316567849779688     
   2.3000000000000003       -20.352778550376218       -15.789799232024899     
   2.4000000000000004       -21.954800781150741       -16.248215211475966     
   2.5000000000000000       -23.601943226883538       -16.692279612317392     
   2.6000000000000001       -25.292793313971412       -17.122441737840997     
   2.7000000000000002       -27.025982692097472       -17.539136825049894     
   2.8000000000000003       -28.800185849737581       -17.942786485030251     
   2.9000000000000004       -30.614118773010986       -18.333799129536366     
   3.0000000000000000       -32.466537646518162       -18.712570384220705     
   3.1000000000000001       -34.356237594851393       -19.079483488926975     
   3.2000000000000002       -36.282051463504722       -19.434909685451284     
   3.3000000000000003       -38.242848637949834       -19.779208593163691     
   3.4000000000000004       -40.237533899683015       -20.112728572870218     
   3.5000000000000000       -42.265046318085687       -20.435807079283482     
   3.6000000000000001       -44.324358176977370       -20.748771002458554     
   3.7000000000000002       -46.414473934774918       -21.051936998539535     
   3.8000000000000003       -48.534429217205954       -21.345611810151475     
   3.9000000000000004       -50.683289841557290       -21.630092576761829     
   4.0000000000000000       -52.860150871471113       -21.905667135325448     
   4.1000000000000005       -55.064135701332553       -22.172614311517322     
   4.2000000000000002       -57.294395169322236       -22.431204201847724     
   4.2999999999999998       -59.550106698236405       -22.681698446945212     
   4.4000000000000004       -61.830473463205266       -22.924350496283985     
   4.5000000000000000       -64.134723585467526       -23.159405864623448     
   4.6000000000000005       -66.462109351385294       -23.387102380419464     
   4.7000000000000002       -68.811906455909252       -23.607670426458597     
   4.8000000000000007       -71.183413269728533       -23.821333172958880     
   4.9000000000000004       -73.575950129363875       -24.028306803372892     
   5.0000000000000000       -75.988858649485735       -24.228800733121659     
   5.1000000000000005       -78.421501056761628       -24.423017821480666     
   5.2000000000000002       -80.873259544558593       -24.611154576832398     
   5.3000000000000007       -83.343535647847901       -24.793401355493032     
   5.4000000000000004       -85.831749637679621       -24.969942554314514     
   5.5000000000000000       -88.337339934614235       -25.140956797256838     
   5.6000000000000005       -90.859762540517934       -25.306617116119348     
   5.7000000000000002       -93.398490488146592       -25.467091125613891     
   5.8000000000000007       -95.953013307961598       -25.622541192956977     
   5.9000000000000004       -98.522836511638005       -25.773124602152546     
   6.0000000000000000       -101.10748109174241       -25.918993713131535     
   6.1000000000000005       -103.70648303707441       -26.060296115909296     
   6.2000000000000002       -106.31939286318118       -26.197174779916818     
   6.3000000000000007       -108.94577515757017       -26.329768198656843     
   6.4000000000000004       -111.58520813915983       -26.458210529831277     
   6.5000000000000000       -114.23728323152248       -26.582631731081612     
   6.6000000000000005       -116.90160464948772       -26.703157691479770     
   6.7000000000000002       -119.57778899868788       -26.819910358902348     
   6.8000000000000007       -122.26546488764058       -26.933007863417195     
   6.9000000000000004       -124.96427255197567       -27.042564636807132     
   7.0000000000000000       -127.67386349042657       -27.148691528351748     
   7.1000000000000005       -130.39390011221749       -27.251495916984439     
   7.2000000000000002       -133.12405539548988       -27.351081819938152     
   7.3000000000000007       -135.86401255642252       -27.447549997989771     
   7.4000000000000004       -138.61346472871043       -27.540998057409631     
   7.5000000000000000       -141.37211465307823       -27.631520548719301     
   7.6000000000000005       -144.13967437651399       -27.719209062357585     
   7.7000000000000002       -146.91586496091904       -27.804152321351499     
   7.8000000000000007       -149.70041620087898       -27.886436271086016     
   7.9000000000000004       -152.49306635027068       -27.966144166263401     
   8.0000000000000000       -155.29356185742802       -28.043356655140123     
   8.0999999999999996       -158.10165710859897       -28.118151861126560     
   8.2000000000000011       -160.91711417943424       -28.190605461832082     
   8.3000000000000007       -163.73970259425590       -28.260790765635470     
   8.4000000000000004       -166.56919909286276       -28.328778785858166     
   8.5000000000000000       -169.40538740463614       -28.394638312615367     
   8.5999999999999996       -172.24805802971784       -28.458435982417708     
   8.7000000000000011       -175.09700802703861       -28.520236345593922     
   8.8000000000000007       -177.95204080898299       -28.580101931602705     
   8.9000000000000004       -180.81296594248226       -28.638093312299873     
   9.0000000000000000       -183.67959895633493       -28.694269163224813     
