             ti                       w1i                      w2i       
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1.0000000000000000       -4.8398899999999996       -8.2565105618039372     
   2.0000000000000000       -16.617656554046526       -14.263524624265346     
   3.0000000000000000       -33.443066626721716       -18.633920286755142     
   4.0000000000000000       -53.940883507542480       -21.813596253567034     
   5.0000000000000000       -77.110555426212258       -24.126965576325638     
   6.0000000000000000       -102.22413217793184       -25.810054570090767     
   7.0000000000000000       -128.75199449021704       -27.034583888892023     
   8.0000000000000000       -156.30881851545107       -27.925488682493874     
   9.0000000000000000       -184.61426236417472       -28.573665364812722     
   10.000000000000000       -213.46436364093381       -29.045245509536500     
   11.000000000000000       -242.71072975680892       -29.388343061429463     
   12.000000000000000       -272.24539786699637       -29.637963261584190     
   13.000000000000000       -301.98981973709323       -29.819574129926160     
   14.000000000000000       -331.88684769616651       -29.951704892899190     
   15.000000000000000       -361.89490402680633       -30.047836466318913     
   16.000000000000000       -391.98373891205949       -30.117776873838071     
