             ti                       w1i                      w2i       
   0.0000000000000000        0.0000000000000000       -4.4119999999899999     
   1.0000000000000000       -4.4119999999899999        3.3797472880214849     
   2.0000000000000000       -5.6554195296009091        7.3220610758269302     
   3.0000000000000000       -1.1760096496481403        16.146323767302171     
   4.0000000000000000        19.437913156636046        10.569662851183878     
   5.0000000000000000        27.321460131396123        14.428083681124193     
   6.0000000000000000        37.804628092565721        14.214979077555741     
   7.0000000000000000        51.509867239580032        6.4565133894715698     
   8.0000000000000000        53.382041351776714        15.859431963447140     
   9.0000000000000000        69.120325328780837        25.526773450611675     
   10.000000000000000        94.621510643105225        23.581854411955796     
   11.000000000000000        116.43636258123435        27.366599708057560     
   12.000000000000000        144.75232713390312        36.729859745031078     
   13.000000000000000        180.33612808613702        39.083019243022257     
   14.000000000000000        224.03500789995772        48.048745748252060     
   15.000000000000000        276.10846386076042        46.828103837709506     
   16.000000000000000        324.60383494566025        55.324846093669912     
