 puntos x  pn(x)
   0.0000000000000000        0.0000000000000000     
   4.5226130653266330E-003   4.1726458579292060E-003
   9.0452261306532659E-003   8.3357235396462632E-003
   1.3567839195979901E-002   1.2489233045151184E-002
   1.8090452261306532E-002   1.6633174374443938E-002
   2.2613065326633167E-002   2.0767547527524566E-002
   2.7135678391959801E-002   2.4892352504393027E-002
   3.1658291457286429E-002   2.9007589305049375E-002
   3.6180904522613064E-002   3.3113257929493545E-002
   4.0703517587939698E-002   3.7209358377725550E-002
   4.5226130653266333E-002   4.1295890649745447E-002
   4.9748743718592968E-002   4.5372854745553165E-002
   5.4271356783919603E-002   4.9440250665148774E-002
   5.8793969849246237E-002   5.3498078408532199E-002
   6.3316582914572858E-002   5.7546337975703507E-002
   6.7839195979899500E-002   6.1585029366662616E-002
   7.2361809045226128E-002   6.5614152581409624E-002
   7.6884422110552769E-002   6.9633707619944488E-002
   8.1407035175879397E-002   7.3643694482267180E-002
   8.5929648241206039E-002   7.7644113168377701E-002
   9.0452261306532666E-002   8.1634963678276121E-002
   9.4974874371859308E-002   8.5616246011962410E-002
   9.9497487437185936E-002   8.9587960169436501E-002
  0.10402010050251256        9.3550106150698462E-002
  0.10854271356783921        9.7502683955748265E-002
  0.11306532663316583       0.10144569358458597     
  0.11758793969849247       0.10537913503721147     
  0.12211055276381910       0.10930300831362483     
  0.12663316582914572       0.11321731341382613     
  0.13115577889447236       0.11712205033781514     
  0.13567839195979900       0.12101721908559207     
  0.14020100502512564       0.12490281965715688     
  0.14472361809045226       0.12877885205250947     
  0.14924623115577890       0.13264531627164997     
  0.15376884422110554       0.13650221231457838     
  0.15829145728643215       0.14034954018129450     
  0.16281407035175879       0.14418729987179849     
  0.16733668341708544       0.14801549138609046     
  0.17185929648241208       0.15183411472417016     
  0.17638190954773869       0.15564316988603780     
  0.18090452261306533       0.15944265687169329     
  0.18542713567839195       0.16323257568113658     
  0.18994974874371862       0.16701292631436776     
  0.19447236180904523       0.17078370877138677     
  0.19899497487437187       0.17454492305219366     
  0.20351758793969849       0.17829656915678838     
  0.20804020100502513       0.18203864708517090     
  0.21256281407035177       0.18577115683734133     
  0.21708542713567841       0.18949409841329964     
  0.22160804020100502       0.19320747181304573     
  0.22613065326633167       0.19691127703657973     
  0.23065326633165828       0.20060551408390156     
  0.23517587939698495       0.20429018295501122     
  0.23969849246231156       0.20796528364990877     
  0.24422110552763820       0.21163081616859414     
  0.24874371859296482       0.21528678051106737     
  0.25326633165829143       0.21893317667732856     
  0.25778894472361813       0.22257000466737750     
  0.26231155778894472       0.22619726448121433     
  0.26683417085427136       0.22981495611883890     
  0.27135678391959800       0.23342307958025141     
  0.27587939698492464       0.23702163486545186     
  0.28040201005025128       0.24061062197444003     
  0.28492462311557792       0.24419004090721613     
  0.28944723618090451       0.24775989166377985     
  0.29396984924623115       0.25132017424413172     
  0.29849246231155779       0.25487088864827145     
  0.30301507537688444       0.25841203487619879     
  0.30753768844221108       0.26194361292791418     
  0.31206030150753772       0.26546562280341729     
  0.31658291457286430       0.26897806450270823     
  0.32110552763819095       0.27248093802578721     
  0.32562814070351759       0.27597424337265380     
  0.33015075376884423       0.27945798054330850     
  0.33467336683417087       0.28293214953775103     
  0.33919597989949751       0.28639675035598133     
  0.34371859296482415       0.28985178299799941     
  0.34824120603015074       0.29329724746380548     
  0.35276381909547738       0.29673314375339932     
  0.35728643216080408       0.30015947186678094     
  0.36180904522613067       0.30357623180395066     
  0.36633165829145731       0.30698342356490793     
  0.37085427135678389       0.31038104714965331     
  0.37537688442211059       0.31376910255818641     
  0.37989949748743723       0.31714758979050717     
  0.38442211055276382       0.32051650884661614     
  0.38894472361809046       0.32387585972651278     
  0.39346733668341705       0.32722564243019725     
  0.39798994974874374       0.33056585695766982     
  0.40251256281407038       0.33389650330892989     
  0.40703517587939697       0.33721758148397807     
  0.41155778894472367       0.34052909148281396     
  0.41608040201005025       0.34383103330543774     
  0.42060301507537690       0.34712340695184940     
  0.42512562814070354       0.35040621242204895     
  0.42964824120603012       0.35367944971603604     
  0.43417085427135682       0.35694311883381147     
  0.43869346733668341       0.36019721977537444     
