 puntos x  f(x) 
   0.0000000000000000        0.0000000000000000     
   4.5226130653266330E-003   4.5124167818619927E-003
   9.0452261306532659E-003   9.0045630930817525E-003
   1.3567839195979901E-002   1.3476620235673718E-002
   1.8090452261306532E-002   1.7928767090090645E-002
   2.2613065326633167E-002   2.2361180158157325E-002
   2.7135678391959801E-002   2.6774033605057024E-002
   3.1658291457286429E-002   3.1167499300395550E-002
   3.6180904522613064E-002   3.5541746858367224E-002
   4.0703517587939698E-002   3.9896943677046152E-002
   4.5226130653266333E-002   4.4233254976825662E-002
   4.9748743718592968E-002   4.8550843838027796E-002
   5.4271356783919603E-002   5.2849871237704502E-002
   5.8793969849246237E-002   5.7130496085651059E-002
   6.3316582914572858E-002   6.1392875259651820E-002
   6.7839195979899500E-002   6.5637163639979040E-002
   7.2361809045226128E-002   6.9863514143160513E-002
   7.6884422110552769E-002   7.4072077755038865E-002
   8.1407035175879397E-002   7.8263003563136896E-002
   8.5929648241206039E-002   8.2436438788347846E-002
   9.0452261306532666E-002   8.6592528815967101E-002
   9.4974874371859308E-002   9.0731417226081759E-002
   9.9497487437185936E-002   9.4853245823333709E-002
  0.10402010050251256        9.8958154666072107E-002
  0.10854271356783921       0.10304628209490968     
  0.11306532663316583       0.10711776476069793     
  0.11758793969849247       0.11117273765193492     
  0.12211055276381910       0.11521133412161980     
  0.12663316582914572       0.11923368591356716     
  0.13115577889447236       0.12323992318819418     
  0.13567839195979900       0.12723017454779351     
  0.14020100502512564       0.13120456706130368     
  0.14472361809045226       0.13516322628858940     
  0.14924623115577890       0.13910627630424310     
  0.15376884422110554       0.14303383972091901     
  0.15829145728643215       0.14694603771221088     
  0.16281407035175879       0.15084299003508386     
  0.16733668341708544       0.15472481505187113     
  0.17185929648241208       0.15859162975184501     
  0.17638190954773869       0.16244354977237260     
  0.18090452261306533       0.16628068941966648     
  0.18542713567839195       0.17010316168913686     
  0.18994974874371862       0.17391107828535815     
  0.19447236180904523       0.17770454964165577     
  0.19899497487437187       0.18148368493932329     
  0.20351758793969849       0.18524859212647748     
  0.20804020100502513       0.18899937793656008     
  0.21256281407035177       0.19273614790649363     
  0.21708542713567841       0.19645900639449945     
  0.22160804020100502       0.20016805659758527     
  0.22613065326633167       0.20386340056870947     
  0.23065326633165828       0.20754513923362966     
  0.23517587939698495       0.21121337240744203     
  0.23969849246231156       0.21486819881081862     
  0.24422110552763820       0.21850971608594866     
  0.24874371859296482       0.22213802081219103     
  0.25326633165829143       0.22575320852144370     
  0.25778894472361813       0.22935537371323617     
  0.26231155778894472       0.23294460986955126     
  0.26683417085427136       0.23652100946938179     
  0.27135678391959800       0.24008466400302789     
  0.27587939698492464       0.24363566398614042     
  0.28040201005025128       0.24717409897351594     
  0.28492462311557792       0.25070005757264863     
  0.28944723618090451       0.25421362745704373     
  0.29396984924623115       0.25771489537929854     
  0.29849246231155779       0.26120394718395445     
  0.30301507537688444       0.26468086782012640     
  0.30753768844221108       0.26814574135391261     
  0.31206030150753772       0.27159865098059088     
  0.31658291457286430       0.27503967903660442     
  0.32110552763819095       0.27846890701134308     
  0.32562814070351759       0.28188641555872179     
  0.33015075376884423       0.28529228450856314     
  0.33467336683417087       0.28868659287778636     
  0.33919597989949751       0.29206941888140681     
  0.34371859296482415       0.29544083994335041     
  0.34824120603015074       0.29880093270708608     
  0.35276381909547738       0.30214977304608032     
  0.35728643216080408       0.30548743607407752     
  0.36180904522613067       0.30881399615520849     
  0.36633165829145731       0.31212952691393264     
  0.37085427135678389       0.31543410124481464     
  0.37537688442211059       0.31872779132214102     
  0.37989949748743723       0.32201066860937833     
  0.38442211055276382       0.32528280386847680     
  0.38894472361809046       0.32854426716902246     
  0.39346733668341705       0.33179512789723986     
  0.39798994974874374       0.33503545476485019     
  0.40251256281407038       0.33826531581778413     
  0.40703517587939697       0.34148477844475711     
  0.41155778894472367       0.34469390938570565     
  0.41608040201005025       0.34789277474008740     
  0.42060301507537690       0.35108143997505220     
  0.42512562814070354       0.35425996993347997     
  0.42964824120603012       0.35742842884189313     
  0.43417085427135682       0.36058688031824360     
  0.43869346733668341       0.36373538737957695     
  0.44321608040201005       0.36687401244957668     
  0.44773869346733675       0.37000281736599039     
  0.45226130653266333       0.37312186338793973     
  0.45678391959798997       0.37623121120311737     
  0.46130653266331656       0.37933092093487186     
  0.46582914572864326       0.38242105214918332     
  0.47035175879396990       0.38550166386153151     
  0.47487437185929648       0.38857281454365872     
  0.47939698492462313       0.39163456213022879     
  0.48391959798994971       0.39468696402538461     
  0.48844221105527641       0.39773007710920605     
  0.49296482412060305       0.40076395774406959     
  0.49748743718592964       0.40378866178091211     
  0.50201005025125633       0.40680424456539982     
  0.50653266331658287       0.40981076094400498     
  0.51105527638190951       0.41280826526999104     
  0.51557788944723626       0.41579681140930869     
  0.52010050251256279       0.41877645274640379     
  0.52462311557788943       0.42174724218993953     
  0.52914572864321607       0.42470923217843304     
  0.53366834170854272       0.42766247468580965     
  0.53819095477386936       0.43060702122687450     
  0.54271356783919600       0.43354292286270485     
  0.54723618090452264       0.43647023020596237     
  0.55175879396984928       0.43938899342612880     
  0.55628140703517592       0.44229926225466482     
  0.56080402010050256       0.44520108599009439     
  0.56532663316582910       0.44809451350301538     
  0.56984924623115585       0.45097959324103865     
  0.57437185929648238       0.45385637323365363     
  0.57889447236180902       0.45672490109702835     
  0.58341708542713577       0.45958522403873664     
  0.58793969849246230       0.46243738886241970     
  0.59246231155778895       0.46528144197238269     
  0.59698492462311559       0.46811742937812323     
