             ti                       wi                
   0.0000000000000000       0.50000000000000000     
  0.20000000000000001       0.82800000000000007     
  0.40000000000000002        1.2113600000000000     
  0.60000000000000009        1.6446592000000000     
  0.80000000000000004        2.1212842240000001     
   1.0000000000000000        2.6331667532800003     
   1.2000000000000002        3.1704634390016002     
   1.4000000000000001        3.7211653955819521     
   1.6000000000000001        4.2706217826099815     
   1.8000000000000000        4.8009585747841772     
   2.0000000000000000        5.2903694612366960     
