         ti               wi                  yi             |yi - wi|    
   0.0000000000000000       0.50000000000000000       0.50000000000000000        0.0000000000000000     
  0.20000000000000001       0.82800000000000007       0.82929862091991502        1.2986209199149501E-003
  0.40000000000000002        1.2113600000000000        1.2140876511793646        2.7276511793645764E-003
  0.60000000000000009        1.6446592000000000        1.6489405998047459        4.2813998047459556E-003
  0.80000000000000004        2.1212842240000001        2.1272295357537665        5.9453117537664468E-003
   1.0000000000000000        2.6331667532800003        2.6408590857704777        7.6923324904774049E-003
   1.2000000000000002        3.1704634390016002        3.1799415386317267        9.4780996301264686E-003
   1.4000000000000001        3.7211653955819521        3.7324000165776638        1.1234620995711708E-002
   1.6000000000000001        4.2706217826099815        4.2834837878024432        1.2862005192461723E-002
   1.8000000000000000        4.8009585747841772        4.8151762677935253        1.4217693009348054E-002
   2.0000000000000000        5.2903694612366960        5.3054719505346748        1.5102489297978750E-002
