             ti                       tita(ti)                      u(ti)       
   0.0000000000000000       0.50000000000000000        0.0000000000000000     
  0.10000000000000001       0.47620459925524039      -0.47237926528817653     
  0.20000000000000001       0.40692235494394469      -0.90285571060394343     
  0.30000000000000004       0.29839691878641039       -1.2507734033955664     
  0.40000000000000002       0.16074972860744918       -1.4799944760704538     
  0.50000000000000000        7.2610527023688476E-003  -1.5645056762537612     
  0.60000000000000009      -0.14694402414734684       -1.4941973760510017     
  0.70000000000000007      -0.28665492545238525       -1.2775042737815225     
  0.80000000000000004      -0.39835719562503891      -0.93918689463406979     
  0.90000000000000002      -0.47159888726763621      -0.51470692578784294     
   1.0000000000000000      -0.49976178632354945       -4.4480125135599236E-002
   1.1000000000000001      -0.48035955887472964       0.42964084393502028     
   1.2000000000000002      -0.41510221715897067       0.86572584635210004     
   1.3000000000000000      -0.30985483691356785        1.2229087626098121     
   1.4000000000000001      -0.17440010397863975        1.4644259168776950     
   1.5000000000000000       -2.1770625311301001E-002   1.5630616269505253     
   1.6000000000000001       0.13301087706453438        1.5070507091959688     
   1.7000000000000002       0.27466441294029686        1.3031263933886521     
   1.8000000000000000       0.38945272481520743       0.97473952825723575     
   1.9000000000000001       0.46659884880124608       0.55662018777412126     
   2.0000000000000000       0.49911117047515119        8.8911661820260557E-002
   2.1000000000000001       0.48411537130184629      -0.38658891280867547     
   2.2000000000000002       0.42293219581166108      -0.82792680728456358     
   2.3000000000000003       0.32104641191235500       -1.1940513821584469     
   2.4000000000000004       0.18789646371296634       -1.4476216448925325     
   2.5000000000000000        3.6256463222779617E-002  -1.5602733434552722     
   2.6000000000000001      -0.11896842070173791       -1.5186142210140749     
   2.7000000000000002      -0.26244465501498826       -1.3276604100818123     
   2.8000000000000003      -0.38022462181597250       -1.0095041236013964     
   2.9000000000000004      -0.46121346804953373      -0.59809153949414307     
   3.0000000000000000      -0.49804896499032647      -0.13326106246198111     
   3.1000000000000001      -0.48746948353790653       0.34325714109337191     
   3.2000000000000002      -0.43040640892821530       0.78949113299059936     
   3.3000000000000003      -0.33196269811532964        1.1642292402428376     
   3.4000000000000004      -0.20122750770450445        1.4295998910528775     
   3.5000000000000000       -5.0706128858027860E-002   1.5561448441168828     
   3.6000000000000001       0.10482872536190355        1.5288767577380407     
   3.7000000000000002       0.25000596737363839        1.3510831514374262     
   3.8000000000000003       0.37068049842842410        1.0434506092657367     
   3.9000000000000004       0.45544718917502208       0.63908821375762748     
   4.0000000000000000       0.49657629283433286       0.17749483502080188     
   4.1000000000000005       0.49041965672584142      -0.29967918979480279     
   4.2000000000000002       0.43751928143987762      -0.75045155144578546     
   4.2999999999999998       0.34259501855347263       -1.1334709219298058     
   4.4000000000000004       0.21438211818876637       -1.4103799987758681     
   4.5000000000000000        6.5107237482541019E-002  -1.5506815700396863     
   4.6000000000000005       -9.0603949831821434E-002  -1.5378285020085294     
   4.7000000000000002      -0.23735886886890925       -1.3733723683503192     
   4.8000000000000007      -0.36082823779379364       -1.0765493680281502     
   4.9000000000000004      -0.44930475639544099      -0.67957759990257860     
   5.0000000000000000      -0.49469458658375975      -0.22157954620890319     
   5.1000000000000005      -0.49296396574770934       0.25588870354485094     
